Name,Symbol
Agilent Technologies Inc. Common Stock,A
Alcoa Corporation Common Stock ,AA
Ares Acquisition Corporation Class A Ordinary Shares,AAC
ATA Creativity Global American Depositary Shares,AACG
Armada Acquisition Corp. I Common Stock,AACI
Armada Acquisition Corp. I Warrant,AACIW
Aadi Bioscience Inc. Common Stock,AADI
Arlington Asset Investment Corp Class A (new),AAIC
Arlington Asset Investment Corp 7.00% ,AAIC^B
Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC^C
Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,AAIN
American Airlines Group Inc. Common Stock,AAL
Atlantic American Corporation Common Stock,AAME
Aarons Holdings Company Inc. Common Stock ,AAN
Applied Optoelectronics Inc. Common Stock,AAOI
AAON Inc. Common Stock,AAON
Advance Auto Parts Inc.,AAP
Apple Inc. Common Stock,AAPL
Accelerate Acquisition Corp. Class A Common Stock,AAQC
American Assets Trust Inc. Common Stock,AAT
Autoscope Technologies Corporation Common Stock,AATC
Almaden Minerals Ltd. Common Shares,AAU
Atlas Air Worldwide Holdings NEW Common Stock,AAWW
AllianceBernstein Holding L.P.  Units,AB
ABB Ltd Common Stock,ABB
AbbVie Inc. Common Stock,ABBV
AmerisourceBergen Corporation Common Stock,ABC
Ameris Bancorp Common Stock,ABCB
AbCellera Biologics Inc. Common Shares,ABCL
Abcam plc American Depositary Shares,ABCM
Abeona Therapeutics Inc. Common Stock,ABEO
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV
Asbury Automotive Group Inc Common Stock,ABG
ABG Acquisition Corp. I Class A Ordinary Shares,ABGI
ARCA biopharma Inc. Common Stock,ABIO
ABM Industries Incorporated Common Stock,ABM
ABIOMED Inc. Common Stock,ABMD
Airbnb Inc. Class A Common Stock,ABNB
Acumen Pharmaceuticals Inc. Common Stock,ABOS
Arbor Realty Trust Common Stock,ABR
Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,ABR^D
Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,ABR^E
Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,ABR^F
Absci Corporation Common Stock,ABSI
Absolute Software Corporation Common Stock,ABST
Abbott Laboratories Common Stock,ABT
Allegiance Bancshares Inc. Common Stock,ABTX
Arbutus Biopharma Corporation Common Stock,ABUS
ABVC BioPharma Inc. Common Stock,ABVC
Associated Capital Group Inc. Common Stock,AC
Arcosa Inc. Common Stock ,ACA
ACADIA Pharmaceuticals Inc. Common Stock,ACAD
Atlantic Coastal Acquisition Corp. Class A Common Stock,ACAH
Atlantic Coastal Acquisition Corp. Warrant,ACAHW
Aurora Cannabis Inc. Common Shares,ACB
Ace Global Business Acquisition Limited Warrant,ACBAW
Atlantic Capital Bancshares Inc. Common Stock,ACBI
American Campus Communities Inc Common Stock,ACC
Accolade Inc. Common Stock,ACCD
Acco Brands Corporation Common Stock,ACCO
Accel Entertainment Inc. ,ACEL
Acer Therapeutics Inc. Common Stock (DE),ACER
Adicet Bio Inc. Common Stock ,ACET
ACE Convergence Acquisition Corp. Class A Ordinary Shares,ACEV
ACE Convergence Acquisition Corp. Warrant,ACEVW
Arch Capital Group Ltd. Common Stock,ACGL
Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,ACGLN
Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO
Aluminum Corporation of China Limited American Depositary Shares,ACH
Acadia Healthcare Company Inc. Common Stock,ACHC
Achilles Therapeutics plc American Depositary Shares,ACHL
Archer Aviation Inc. Class A Common Stock,ACHR
Achieve Life Sciences Inc. Common Shares,ACHV
Albertsons Companies Inc. Class A Common Stock,ACI
Atlas Crest Investment Corp. II Class A Common Stock,ACII
AC Immune SA Common Stock,ACIU
ACI Worldwide Inc. Common Stock,ACIW
Ackrell SPAC Partners I Co. Subunits,ACKIT
Ackrell SPAC Partners I Co. Units,ACKIU
Ackrell SPAC Partners I Co. Warrants,ACKIW
Axcelis Technologies Inc. Common Stock,ACLS
AECOM Common Stock,ACM
ACM Research Inc. Class A Common Stock,ACMR
Accenture plc Class A Ordinary Shares (Ireland),ACN
ACNB Corporation Common Stock,ACNB
Acorda Therapeutics Inc. Common Stock,ACOR
Aberdeen Income Credit Strategies Fund Common Shares,ACP
Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,ACP^A
Independence Holdings Corp. Class A Ordinary Share,ACQR
Independence Holdings Corp. Units,ACQRU
Independence Holdings Corp. Warrant,ACQRW
ACRES Commercial Realty Corp. Common Stock,ACR
ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,ACR^C
ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,ACR^D
Ares Commercial Real Estate Corporation Common Stock,ACRE
Acropolis Infrastructure Acquisition Corp. Class A Common Stock,ACRO
Aclaris Therapeutics Inc. Common Stock,ACRS
AcelRx Pharmaceuticals Inc. Common Stock,ACRX
Acasti Pharma Inc. Class A Common Stock,ACST
Enact Holdings Inc. Common Stock,ACT
ArcLight Clean Transition Corp. II Class A Ordinary Share,ACTD
ArcLight Clean Transition Corp. II Unit,ACTDU
ArcLight Clean Transition Corp. II Warrant,ACTDW
Acacia Research Corporation (Acacia Tech) Common Stock,ACTG
Acme United Corporation. Common Stock,ACU
Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV
ACV Auctions Inc. Class A Common Stock,ACVA
Acurx Pharmaceuticals Inc. Common Stock,ACXP
AeroCentury Corp. Common Stock,ACY
Adagene Inc. American Depositary Shares,ADAG
Anthemis Digital Acquisitions I Corp Unit,ADALU
Adaptimmune Therapeutics plc American Depositary Shares,ADAP
Adobe Inc. Common Stock,ADBE
Agree Realty Corporation Common Stock,ADC
Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,ADC^A
ADC Therapeutics SA Common Shares,ADCT
26 Capital Acquisition Corp. Class A Common Stock,ADER
26 Capital Acquisition Corp. Warrant,ADERW
Advanced Emissions Solutions Inc. Common Stock,ADES
Adit EdTech Acquisition Corp. Common Stock,ADEX
Adagio Therapeutics Inc. Common Stock,ADGI
Analog Devices Inc. Common Stock,ADI
Adial Pharmaceuticals Inc Common Stock,ADIL
Adial Pharmaceuticals Inc Warrant,ADILW
Archer-Daniels-Midland Company Common Stock,ADM
ADMA Biologics Inc Common Stock,ADMA
Adamis Pharmaceuticals Corporation Common Stock,ADMP
Advent Technologies Holdings Inc. Class A Common Stock,ADN
Adient plc Ordinary Shares ,ADNT
Advent Technologies Holdings Inc. Warrant,ADNWW
Edoc Acquisition Corp. Class A Ordinary Share,ADOC
Edoc Acquisition Corp. Right,ADOCR
Edoc Acquisition Corp. Warrant,ADOCW
Automatic Data Processing Inc. Common Stock,ADP
Adaptive Biotechnologies Corporation Common Stock,ADPT
Adara Acquisition Corp. Class A Common Stock,ADRA
Alliance Data Systems Corporation Common Stock,ADS
ADS-TEC ENERGY PLC Ordinary Shares,ADSE
ADS-TEC ENERGY PLC Warrant,ADSEW
Autodesk Inc. Common Stock,ADSK
ADT Inc. Common Stock,ADT
AdTheorent Holding Company Inc. Common Stock,ADTH
AdTheorent Holding Company Inc. Warrants,ADTHW
ADTRAN Inc. Common Stock,ADTN
Aditxt Inc. Common Stock,ADTX
Addus HomeCare Corporation Common Stock,ADUS
Advantage Solutions Inc. Class A Common Stock,ADV
Adverum Biotechnologies Inc. Common Stock,ADVM
Advantage Solutions Inc. Warrant,ADVWW
Adams Diversified Equity Fund Inc.,ADX
Addex Therapeutics Ltd American Depositary Shares,ADXN
Adams Resources & Energy Inc. Common Stock,AE
Authentic Equity Acquisition Corp. Class A ordinary share,AEAC
Authentic Equity Acquisition Corp. Unit,AEACU
Authentic Equity Acquisition Corp. Warrant,AEACW
AltEnergy Acquisition Corp. Class A Common Stock,AEAE
AltEnergy Acquisition Corp. Unit,AEAEU
AltEnergy Acquisition Corp. Warrant,AEAEW
Ameren Corporation Common Stock,AEE
Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,AEF
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
AEGON N.V. Common Stock,AEG
Aesther Healthcare Acquisition Corp Class A Common Stock,AEHA
Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL
